"title","logoPath","logoPathV3","jobId","currency","footerPlaceholderLabel","footerPlaceholderColor","companyName","isSaved","tagsAndSkills","placeholders","companyId","jdURL","staticUrl","ambitionBoxData","jobDescription","showMultipleApply","groupId","isTopGroup","createdDate","minExp","maxExp","salary","location","brandingTags","exclusive","hiringFor","jobType"
"SAP Functional Consultant","https://www.naukri.com/hotjobs/images/v3/dainikbg1.gif","https://www.naukri.com/hotjobs/images/v3/dainikbg1.gif","030123008178","INR","1 Day Ago","green","Dainik Bhaskar Group",false,"SAP FICO,SAP,SAP SD,SAP MM,sap functional consultancy,sap knowledge,functional consultancy,saps","[{""type"":""experience"",""label"":""5-10 Yrs""},{""type"":""salary"",""label"":""Not disclosed""},{""type"":""location"",""label"":""Bhopal, Ahmedabad, Mumbai (All Areas)""}]",193488,"https://www.naukri.com/job-listings-sap-functional-consultant-dainik-bhaskar-group-bhopal-ahmedabad-mumbai-all-areas-5-to-10-years-030123008178","dainik-bhaskar-group-jobs-careers-193488","https://www.ambitionbox.com/reviews/dainik-bhaskar-group-of-publication-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri","<p><strong>Responsibilities</strong> <strong>and Desired Profile:</strong> </p><p>  </p><ul><li>Overall 5 plus years of experience in SAP in SD, MM, FI functional modules.</li><li>Good functional knowledge.</li><li>3+ years of experience in ECC 6.0 - MM module.</li><li>Clear understanding of Standard SAP-MM business functionalities, p2p processes, and experience in customized business template process support is an added advantage.</li><li>Good knowledge in the cross module integration topics of logistics and finance.</li><li>Technical capability- debugging skills, workflow and iDocs.</li><li>Good communication skill.</li><li>Good Customer handling skill.</li></ul><br />",false,4589591,0,1682000890734,"5","10","Not disclosed","Bhopal, Ahmedabad, Mumbai (All Areas)",,,,
"Full Stack Developer (React.js, Node.js, Vue.js & Laravel)",,,"210423007149","INR","1 Day Ago","green","Incipientinfo",false,"mern,stack,vue.js,laravel,full stack,node.js,react.js,development","[{""type"":""experience"",""label"":""1-6 Yrs""},{""type"":""salary"",""label"":""Not disclosed""},{""type"":""location"",""label"":""Ahmedabad, Bangalore/Bengaluru""}]",6304010,"https://www.naukri.com/job-listings-full-stack-developer-react-js-node-js-vue-js-laravel-incipient-infotech-ahmedabad-bangalore-bengaluru-1-to-6-years-210423007149","incipientinfo-jobs-careers-2608996","https://www.ambitionbox.com/reviews/incipient-info-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri","We urgently seek a Full Stack Developer (WFO). Must have good knowledge of Front End and Back End Technologies like React.js, Node.js, Vue.js, and Laravel. Must have 1+ years of experience with good communication.",false,1451504,0,1682074557686,"1","6","Not disclosed","Ahmedabad, Bangalore/Bengaluru",,,,
"Performance Test Engineer","https://img.naukimg.com/logo_images/groups/v1/2114.gif","https://img.naukimg.com/logo_images/groups/v1/2114.gif","200423008706","INR","1 Day Ago","green","Tech Mahindra",false,"performance testing,SFDC,JMeter,ETL Testing,load testing,etl,performance,load","[{""type"":""experience"",""label"":""6-10 Yrs""},{""type"":""salary"",""label"":""5-15 Lacs PA""},{""type"":""location"",""label"":""Hybrid - Pune, Ahmedabad""}]",100007,"https://www.naukri.com/job-listings-performance-test-engineer-tech-mahindra-pune-ahmedabad-6-to-10-years-200423008706","tech-mahindra-jobs-careers-1066","https://www.ambitionbox.com/reviews/tech-mahindra-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri","Experience - Minimum 5 years in performance testing is mandatory <br><br> We are immediately hiring for Performance Test Engineers and are looking for candidates having good knowledge on SFDC / ETL Testing. <br><br> Strong experience in JMeter <br><br>Experience in SFDC performance testing <br><br>Experience in ETL-based application performance testing <br><br>Experience in Gainsight",false,2114,0,1681991737457,"6","10","5-15 Lacs PA","Hybrid - Pune, Ahmedabad",,,,
"SCM -  Business Analyst","https://img.naukimg.com/logo_images/groups/v1/1678192.gif","https://img.naukimg.com/logo_images/groups/v1/1678192.gif","120423005543","INR","9 Days Ago","grey","Avery Dennison",false,"Oracle Fusion Cloud,Supply Chain Management,business analysis,ebs,cloud,management,oracle fusion,scm","[{""type"":""experience"",""label"":""8-13 Yrs""},{""type"":""salary"",""label"":""Not disclosed""},{""type"":""location"",""label"":""Hybrid - Ahmedabad, Chennai, Bangalore/Bengaluru""}]",755199,"https://www.naukri.com/job-listings-scm-business-analyst-avery-dennison-ahmedabad-chennai-bangalore-bengaluru-8-to-13-years-120423005543","avery-dennison-jobs-careers-113","https://www.ambitionbox.com/reviews/avery-dennison-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri","QUALIFICATIONS / REQUIREMENTS: Education,experience,key competencies / skills,and certifications required for success<br><br>Willingness and ability to travel frequently domestic and international.  . Strong planning and scheduling and manufacturing focus to help deliver what our customers want and need<br><br> Must possess a strong ""sense of urgency"" to get work done quickly and correctly",false,1678192,0,1681282697873,"8","13","Not disclosed","Hybrid - Ahmedabad, Chennai, Bangalore/Bengaluru",,,,
"Junior Front End Developer - Remote (Fresh College Graduates)","https://img.naukri.com/logo_images/v3/1374356.gif","https://img.naukri.com/logo_images/v3/1374356.gif","140423000066","INR","1 Day Ago","green","Coalition Technologies",false,"Html/Css,html,web technologies,development,responsive website,cs,front,photoshop","[{""type"":""experience"",""label"":""0-5 Yrs""},{""type"":""salary"",""label"":""Not disclosed""},{""type"":""location"",""label"":""Hybrid - Hyderabad/Secunderabad, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)""}]",1374356,"https://www.naukri.com/job-listings-junior-front-end-developer-remote-fresh-college-graduates-coalition-technologies-hyderabad-secunderabad-ahmedabad-chennai-bangalore-bengaluru-delhi-ncr-mumbai-all-areas-0-to-5-years-140423000066","coalition-technologies-jobs-careers-1374356","https://www.ambitionbox.com/reviews/coalition-technologies-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri","Prior experience in web design industry (preferred,but not required)",false,4780883,0,1682011013971,"0","5","Not disclosed","Hybrid - Hyderabad/Secunderabad, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",,,,
"Junior Data Analyst",,,"230123013573","INR","4 Days Ago","grey","MT Infotech Solutions",false,"data analysis,Excel,Typing Speed,Data Entry,data,typing,analysis","[{""type"":""experience"",""label"":""0-5 Yrs""},{""type"":""salary"",""label"":""1.5-2 Lacs PA""},{""type"":""location"",""label"":""Ahmedabad""}]",123538243,"https://www.naukri.com/job-listings-junior-data-analyst-mt-infotech-solutions-ahmedabad-0-to-5-years-230123013573","mt-infotech-solutions-jobs-careers-123538243","","Medium computer usage (no programming skills required)<br><br>Skills Required: .",false,7755147,0,1681732798440,"0","5","1.5-2 Lacs PA","Ahmedabad",,,,
"Full Stack Developer / sr. Fullstack developer",,,"210423909342","INR","1 Day Ago","green","Dreambig It Solutions India",false,"NodeJS,graphql,css,development,fullstack development,react.js,stack,full stack","[{""type"":""experience"",""label"":""2-7 Yrs""},{""type"":""salary"",""label"":""Not disclosed""},{""type"":""location"",""label"":""Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Ahmedabad, Delhi / NCR, Bangalore/Bengaluru""}]",123596539,"https://www.naukri.com/job-listings-full-stack-developer-sr-fullstack-developer-dreambig-it-solutions-kolkata-mumbai-hyderabad-secunderabad-pune-chennai-ahmedabad-delhi-ncr-bangalore-bengaluru-2-to-7-years-210423909342","dreambig-it-solutions-india-jobs-careers-4510152","https://www.ambitionbox.com/reviews/dreambig-it-solutions-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri","Experience with databases,preferably Postgres,Elasticsearch,Cassandra.  <br><br>2+ years of experience with Node.js.  . 2+ years of experience with modern frontend framework like React.js. Strong understanding of JavaScript,its quirks,and workarounds.  . Sound understanding of HTML,CSS,and the web platform<br><br>Experience in building performant rich UI components.",false,6543099,0,1682078621585,"2","7","Not disclosed","Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Ahmedabad, Delhi / NCR, Bangalore/Bengaluru",,,,
"Solution Architect -SAP Vistex with Revenue Management",,,"210423906543","INR","1 Day Ago","green","Serving Skill",false,"SAP Vistex,claims,revenue,sap,saps,s,vistex,architecture","[{""type"":""experience"",""label"":""5-9 Yrs""},{""type"":""salary"",""label"":""Not disclosed""},{""type"":""location"",""label"":""Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Ahmedabad, Bangalore/Bengaluru, Delhi / NCR""}]",123619385,"https://www.naukri.com/job-listings-solution-architect-sap-vistex-with-revenue-management-serving-skill-kolkata-mumbai-hyderabad-secunderabad-pune-chennai-ahmedabad-bangalore-bengaluru-delhi-ncr-5-to-9-years-210423906543","serving-skill-jobs-careers-123619385","","Hands on configuration experience in S / 4 HANA Claim and Settlement Management<br><br>Must possess good communication skills with the ability to understand business processes and translate the same into SAP Solution <br><br>Should have strong SAP Standard configuration knowledge and good SAP project process knowledge <br><br>Must have worked on complex pricing programs in Vistex",false,3356574,0,1682070464554,"5","9","Not disclosed","Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Ahmedabad, Bangalore/Bengaluru, Delhi / NCR",,,"Leading Client",
"Solution Architect- Solution Design Manager/Lead – SAP S/4 HANA",,,"210423905302","INR","1 Day Ago","green","Serving Skill",false,"Solution Architect,architectural design,sales,design,saps,sap s hana,solution design,s","[{""type"":""experience"",""label"":""7-11 Yrs""},{""type"":""salary"",""label"":""Not disclosed""},{""type"":""location"",""label"":""Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Ahmedabad, Delhi / NCR, Bangalore/Bengaluru""}]",123619385,"https://www.naukri.com/job-listings-solution-architect-solution-design-manager-lead-sap-s-4-hana-serving-skill-kolkata-mumbai-hyderabad-secunderabad-pune-chennai-ahmedabad-delhi-ncr-bangalore-bengaluru-7-to-11-years-210423905302","serving-skill-jobs-careers-123619385","","<p>Solution Architect- Solution Design Manager/Lead – SAP S/4 HANA Sales and Ecommerce-   Remote- Management Consultancy Firm</p><p>At least 5 years' experience in country and global roles within pharmaceutical industry, strong end user experience in SAP S4/HANA<br /><br />- Prior experience in defining sales order entry channels (EDI, SFA, OCR) & sales orders impacted by business operational model (VMI, consignment), ideally also combined with Vistex or Model N<br /><br />- Proven experience defining sales order entry channels, defining ERP organizational structure and data (Sales organization, distribution channels, sales office and group, delivery plant, sales and costumers' payment options, master data, etc)<br /><br />- Prior experience in defining rule for customer invoice (e.g. after PGI or after POD), define rules for billing date and revenue recognition in Finance at invoice creation and cases for invoice correction (tax, quantity, price), defining the returns scenarios<br /><br />- Proficient in English language<br /><br />- Shown experience handling ambiguity, agile approach, and a global environment mindset<br /><br />- Strong interpersonal, collaborative and people leadership skills.<br /><br />An ideal candidate who has worked in Pharma industry and who can architect integration between multiple satellite systems with SAP S/4 HANA O2C process. </p><p>Run value mapping sessions with business to understand the AS IS process and design TO BE process for Order to Cash and Logistics value streams. Prepare a global template which would be ideally rolled out to multiple geographies.</p><p>Location: Remote</p>",false,3356574,0,1682060959280,"7","11","Not disclosed","Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Ahmedabad, Delhi / NCR, Bangalore/Bengaluru",,,"Leading Client",
"Solution Architect-Solution Design Manager/Lead – SAP Revenue",,,"210423904557","INR","1 Day Ago","green","Serving Skill",false,"SAP Revenue,design,revenue,solution design,architecture,claims,claims management,sap","[{""type"":""experience"",""label"":""7-11 Yrs""},{""type"":""salary"",""label"":""Not disclosed""},{""type"":""location"",""label"":""Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Ahmedabad, Delhi / NCR, Bangalore/Bengaluru""}]",123619385,"https://www.naukri.com/job-listings-solution-architect-solution-design-manager-lead-sap-revenue-serving-skill-kolkata-mumbai-hyderabad-secunderabad-pune-chennai-ahmedabad-delhi-ncr-bangalore-bengaluru-7-to-11-years-210423904557","serving-skill-jobs-careers-123619385","","<p>Solution Architect-Solution Design Manager/Lead – SAP Revenue/Claim Management-- Remote- Management Consultancy Firm</p><p><br />An ideal candidate who has worked in Pharma industry and who understands how claims and settlements are structured and architect the process for same and prepare a global template which would be ideally rolled out to multiple geographies.</p><p>Locations : Remote<br /></p>",false,3356574,0,1682057267757,"7","11","Not disclosed","Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Ahmedabad, Delhi / NCR, Bangalore/Bengaluru",,,"Leading Client",
